,S-AKP,S-UE,SDHA,S-SC,Chuli,Ac,Am,S-AKP1,,,,,,,,,,,,,,,,,
1,6.619293712,353.7078,57.43668,17.2845,CK,CK,CK,7.30620155,,,,,,,,,,,,,,,,,
2,6.669250646,371.1878,58.85838,18.1746,CK,CK,CK,7.318690784,,,,,,,,,,,,,,,,,
3,6.75667528,377.3058,60.75398,19.2096,CK,CK,CK,7.356158484,,,,,,,,,,,,,,,,,
4,6.906546081,378.1798,61.22788,19.3752,CK,CK,CK,7.555986219,,,,,,,,,,,,,,,,,
5,7.056416882,379.9278,64.54518,19.4994,CK,CK,CK,7.580964686,,,,,,,,,,,,,,,,,
6,7.181309216,383.4238,65.49298,19.7892,CK,CK,CK,7.643410853,,,,,,,,,,,,,,,,,
7,6.75667528,385.1718,57.91058,16.6221,B,CK,B,6.75667528,,,,,,,,,,,,,,,,,
8,6.956503015,386.9198,66.91468,17.5122,B,CK,B,6.956503015,,,,,,,,,,,,,,,,,
9,7.168819983,391.2898,68.33638,18.1125,B,CK,B,7.368647717,,,,,,,,,,,,,,,,,
10,7.281223084,393.9118,69.75808,18.2988,B,CK,B,7.393626184,,,,,,,,,,,,,,,,,
11,7.368647717,394.7858,70.23198,18.3816,B,CK,B,7.506029285,,,,,,,,,,,,,,,,,
12,7.393626184,405.2738,71.65368,20.9484,B,CK,B,7.531007752,,,,,,,,,,,,,,,,,
13,7.531007752,260.1898,30.42438,14.1174,L,CK,L,7.593453919,,,,,,,,,,,,,,,,,
14,7.905684755,271.5518,30.89828,14.1174,L,CK,L,7.593453919,,,,,,,,,,,,,,,,,
15,7.331180017,271.5518,32.31998,14.9454,L,CK,L,7.605943152,,,,,,,,,,,,,,,,,
16,7.381136951,273.2998,32.79388,15.2145,L,CK,L,7.605943152,,,,,,,,,,,,,,,,,
17,7.381136951,275.0478,32.79388,15.4215,L,CK,L,7.605943152,,,,,,,,,,,,,,,,,
18,7.506029285,275.9218,33.26778,16.1046,L,CK,L,7.655900086,,,,,,,,,,,,,,,,,
19,6.481912145,422.7538,45.11528,18.0918,Act12,Act12,CK,7.406115418,,,,,,,,,,,,,,,,,
20,6.219638243,431.4938,46.06308,18.6921,Act12,Act12,CK,7.568475452,,,,,,,,,,,,,,,,,
21,6.24461671,437.6118,47.01088,19.5408,Act12,Act12,CK,8.155469423,,,,,,,,,,,,,,,,,
22,6.369509044,437.6118,47.48478,19.9134,Act12,Act12,CK,8.25538329,,,,,,,,,,,,,,,,,
23,6.381998277,454.2178,49.85428,20.0169,Act12,Act12,CK,8.317829457,,,,,,,,,,,,,,,,,
24,6.157192076,458.5878,51.27598,20.0376,Act12,Act12,CK,8.430232558,,,,,,,,,,,,,,,,,
25,6.431955211,429.7458,35.63728,16.3944,Act12B,Act12,B,7.043927649,,,,,,,,,,,,,,,,,
26,6.394487511,435.8638,35.63728,17.0568,Act12B,Act12,B,7.093884582,,,,,,,,,,,,,,,,,
27,6.194659776,450.7218,36.11118,17.2845,Act12B,Act12,B,7.206287683,,,,,,,,,,,,,,,,,
28,6.394487511,451.5958,37.05898,17.3466,Act12B,Act12,B,7.643410853,,,,,,,,,,,,,,,,,
29,6.344530577,453.3438,39.42848,17.4708,Act12B,Act12,B,7.893195521,,,,,,,,,,,,,,,,,
30,6.357019811,462.9578,40.37628,18.8163,Act12B,Act12,B,7.905684755,,,,,,,,,,,,,,,,,
31,7.66838932,284.6618,29.47658,14.9661,Act12L,Act12,L,7.793281654,,,,,,,,,,,,,,,,,
32,7.680878553,287.2838,29.95048,15.2973,Act12L,Act12,L,7.818260121,,,,,,,,,,,,,,,,,
33,7.531007752,296.0238,31.84608,15.3594,Act12L,Act12,L,7.868217054,,,,,,,,,,,,,,,,,
34,7.393626184,298.6458,31.84608,15.4836,Act12L,Act12,L,7.930663221,,,,,,,,,,,,,,,,,
35,8.105512489,299.5198,32.79388,15.6906,Act12L,Act12,L,8.030577089,,,,,,,,,,,,,,,,,
36,7.468561585,301.2678,33.26778,15.8769,Act12L,Act12,L,8.105512489,,,,,,,,,,,,,,,,,
37,6.219638243,451.5958,57.91058,18.1746,D74,D74,CK,6.219638243,,,,,,,,,,,,,,,,,
38,6.219638243,462.9578,57.91058,18.423,D74,D74,CK,6.219638243,,,,,,,,,,,,,,,,,
39,6.232127476,465.5798,58.85838,18.63,D74,D74,CK,6.232127476,,,,,,,,,,,,,,,,,
40,6.269595177,466.4538,61.22788,19.872,D74,D74,CK,6.269595177,,,,,,,,,,,,,,,,,
41,6.269595177,470.8238,61.70178,20.286,D74,D74,CK,6.269595177,,,,,,,,,,,,,,,,,
42,6.294573643,477.8158,62.64958,21.0105,D74,D74,CK,6.294573643,,,,,,,,,,,,,,,,,
43,6.332041344,475.1938,52.22378,18.5886,D74B,D74,B,6.332041344,,,,,,,,,,,,,,,,,
44,6.332041344,485.6818,53.64548,19.6236,D74B,D74,B,6.332041344,,,,,,,,,,,,,,,,,
45,6.332041344,485.6818,54.59328,19.8513,D74B,D74,B,6.332041344,,,,,,,,,,,,,,,,,
46,6.344530577,487.4298,56.01498,21.5694,D74B,D74,B,6.344530577,,,,,,,,,,,,,,,,,
47,6.357019811,492.6738,56.96278,21.5694,D74B,D74,B,6.357019811,,,,,,,,,,,,,,,,,
48,6.357019811,502.2878,57.43668,21.9006,D74B,D74,B,6.357019811,,,,,,,,,,,,,,,,,
49,7.493540052,246.2058,32.31998,12.7719,D74L,D74,L,7.493540052,,,,,,,,,,,,,,,,,
50,7.506029285,251.4498,32.79388,12.8547,D74L,D74,L,7.506029285,,,,,,,,,,,,,,,,,
51,7.518518519,260.1898,33.26778,13.041,D74L,D74,L,7.518518519,,,,,,,,,,,,,,,,,
52,7.543496985,271.5518,33.74168,13.5585,D74L,D74,L,7.543496985,,,,,,,,,,,,,,,,,
53,7.543496985,275.0478,34.21558,13.6206,D74L,D74,L,7.543496985,,,,,,,,,,,,,,,,,
54,7.555986219,278.5438,34.68948,13.9104,D74L,D74,L,7.555986219,,,,,,,,,,,,,,,,,
